DateTime,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SYMBOL
2018-09-14,9.36,10.82,9.26,10.38,10.38,20704789,0.0,1.0,CRON
2018-09-13,11.32,11.37,10.0,10.11,10.11,20753882,0.0,1.0,CRON
2018-09-12,11.8,12.03,10.77,11.27,11.27,21845825,0.0,1.0,CRON
2018-09-11,11.96,12.16,11.61,11.99,11.99,17828970,0.0,1.0,CRON
2018-09-10,12.35,12.46,11.86,12.1,12.1,21122891,0.0,1.0,CRON
2018-09-07,11.45,12.44,11.2001,11.99,11.99,24086862,0.0,1.0,CRON
2018-09-06,11.9,12.0,10.9101,11.62,11.62,30731988,0.0,1.0,CRON
2018-09-05,13.17,13.39,11.3,12.45,12.45,83070050,0.0,1.0,CRON
2018-09-04,10.9,11.41,10.61,11.15,11.15,45906604,0.0,1.0,CRON
2018-08-31,8.85,10.29,8.54,9.88,9.88,43594194,0.0,1.0,CRON
2018-08-30,12.09,12.15,8.82,9.12,9.12,81548157,0.0,1.0,CRON
2018-08-29,12.01,12.79,11.55,12.74,12.74,41523658,0.0,1.0,CRON
2018-08-28,11.69,12.16,10.36,11.08,11.08,43406625,0.0,1.0,CRON
2018-08-27,11.82,12.89,11.55,12.04,12.04,67986579,0.0,1.0,CRON
2018-08-24,8.91,10.1,8.86,9.94,9.94,36067526,0.0,1.0,CRON
2018-08-23,8.16,8.72,8.01,8.54,8.54,13458831,0.0,1.0,CRON
2018-08-22,8.09,8.449,7.62,8.16,8.16,14323962,0.0,1.0,CRON
2018-08-21,8.22,8.78,7.72,8.29,8.29,31970733,0.0,1.0,CRON
2018-08-20,6.71,7.67,6.626,7.32,7.32,13292937,0.0,1.0,CRON
2018-08-17,6.34,6.69,6.221,6.54,6.54,3043091,0.0,1.0,CRON
2018-08-16,6.34,6.64,6.17,6.32,6.32,3221264,0.0,1.0,CRON
2018-08-15,6.08,6.55,5.88,6.38,6.38,7531029,0.0,1.0,CRON
2018-08-14,5.92,5.95,5.61,5.65,5.65,2619867,0.0,1.0,CRON
2018-08-13,6.02,6.02,5.63,5.83,5.83,2175401,0.0,1.0,CRON
2018-08-10,6.08,6.1,5.91,5.96,5.96,1248866,0.0,1.0,CRON
2018-08-09,5.97,6.1,5.88,6.1,6.1,2104542,0.0,1.0,CRON
2018-08-08,5.65,5.85,5.64,5.77,5.77,1289265,0.0,1.0,CRON
2018-08-07,5.88,5.95,5.67,5.72,5.72,1875624,0.0,1.0,CRON
2018-08-06,5.88,6.04,5.87,5.88,5.88,1307521,0.0,1.0,CRON
2018-08-03,5.93,6.08,5.81,5.86,5.86,1432317,0.0,1.0,CRON
2018-08-02,5.78,6.06,5.78,6.02,6.02,1484646,0.0,1.0,CRON
2018-08-01,6.22,6.29,5.77,5.78,5.78,1754414,0.0,1.0,CRON
2018-07-31,5.83,6.17,5.64,6.05,6.05,2407536,0.0,1.0,CRON
2018-07-30,6.22,6.335,5.87,5.92,5.92,2347559,0.0,1.0,CRON
2018-07-27,6.18,6.3,6.13,6.23,6.23,1341082,0.0,1.0,CRON
2018-07-26,6.25,6.2889,6.11,6.14,6.14,1578188,0.0,1.0,CRON
2018-07-25,6.25,6.404,6.141,6.29,6.29,1411198,0.0,1.0,CRON
2018-07-24,6.54,6.54,6.1,6.27,6.27,2575760,0.0,1.0,CRON
2018-07-23,6.5,6.68,6.4,6.46,6.46,1930140,0.0,1.0,CRON
