,,open,open,high,high,low,low,close,close
,,min,max,min,max,min,max,min,max
Year,Month,,,,,,,,
2019,9,126.696,135.7,126.758,135.746,126.669,135.68200000000002,126.696,135.695
2019,10,130.44899999999998,141.31799999999996,130.465,141.5,130.425,141.29399999999995,130.44799999999998,141.319
2019,11,139.33100000000002,141.833,139.336,141.84,139.31799999999998,141.814,139.329,141.829
2019,12,140.841,147.945,140.858,147.955,140.829,147.911,140.841,147.946
2020,1,140.851,144.601,140.88299999999995,144.606,140.82,144.565,140.849,144.601
2020,2,137.643,144.94299999999996,137.674,144.957,137.532,144.938,137.642,144.94299999999996
2020,3,124.263,139.175,124.263,139.183,124.062,139.102,124.254,139.175
2020,4,131.916,135.732,131.94299999999998,135.744,131.903,135.71200000000002,131.916,135.732
2020,5,129.299,134.606,129.3,134.623,129.295,134.60299999999998,129.299,134.607
2020,6,131.657,139.69799999999998,131.713,139.733,131.656,139.657,131.713,139.697
2020,7,132.971,135.903,132.997,135.92,132.94299999999998,135.879,132.971,135.904
